word,word_type,meaning,examples
intemperate,,"immoderate
from Latin prefix in- - ""not"" and temperantia - ""moderation""","An alcoholic is intemperate, often overindulging in alcohol."
interdict,,"forbid, prohibit, veto",
internecine,,"destructive to both sides in a conflict, relating to conflict within a group
from the Latin inter - “among” - and necare - “to kill” ",The region's history of savage internecine warfare.
interstice,noun,"a tiny gap
the Latin root is interstitium - ""space between""
commonly used in its plural form","The interstice between your curtains lets in a thin slice of morning sunlight.
In the interstices of your busy day you have to catch up on returning phone calls."
intractable,,"unmanageable
when someone is tractable they are able to be handled, when they are intractable, they are not",Intractable problems can't be solved.
intransigent,,"impervious to pleas, persuasion, or reason; inflexible, stubborn, entrenched
tran has to do with movement, so intransigent means something or someone who is not moving","If one political party wants to raise funds to improve schools but the other is intransigent on the subject of higher taxes, the debate will get nowhere."
inveigh,,"complain bitterly, speak against in an impassioned manner, to rail against something with hostility and passion",
invidious,,"offensive or defamatory
unlike insidious, invidious doesn’t hide; it’s hateful right away",
ion,,"a charged atom or molecule
molecules are charged because the number of electrons does not equal the number of protons
a cation is a positively-charged ion, while an anion is negatively charged",
irascible,,quick to anger,He was an irascible and difficult man.
irreverent,,showing lack of due respect,
isthmus,,"a land bridge, a narrow strip of land that stretches across a body of water to connect two larger land masses
Greek word isthmos means ""neck""",Look at the Isthmus of Panama and you can see how that neck-like bit of land separates the Caribbean Sea from the North Pacific Ocean as it connects North and South America. 
iterate,transitive verb,"to repeat
reiterate is more familiar and means something very similar: to repeat for emphasis","A successful play or concert will usually iterate a performance, so more people can see it.
Politicians often iterate key points. "
itinerant,,"a person who moves from place to place, typically for work
reminds us of itinerary - the traveler's schedule. both words come from Latin itinerare - ""to travel""",
jeremiad,noun,"a long and mournful complaint
the word was coined in 1700s France as jérémiade and was a reference to the Old Testament's Lamentations of Jeremiah",A jeremiad against any form of government.
jeunesse doree,,"fashionable, wealthy young people",
jocund,,"merry and cheerful
influenced by two Latin words, jocundus - ""pleasant"", and jocus - ""joke""",
lambert,noun,"a former measure of luminance, equivalent to one lumen per square centimeter.","In photometry, the lambert is sometimes used as a unit of brightness."
languid,adjective,"1, showing a disinclination for physical exertion or effort
2, relaxed and peaceful
3, weak or faint from illness or fatigue","1, His languid demeanour irritated her.
2, The terrace was perfect for languid days in the Italian sun.
3, She was pale, languid, and weak, as if she had delivered a child."
languorous,adjective,"dreamy, lackadaisical, languid",
largesse,,"generosity, largeness of spirit",
lassitude,,"a feeling of lack of interest or energy, languor",
liminal,,"1. relating to a transitional or initial stage of a process
2. occupying a position at, or on both sides of, a boundary or threshold. Think of subliminal as below a threshold",Teenagers are in that liminal stage between childhood and adulthood.
listless,,"lethargic, low spirited, limp
from the Middle English liste - ""desire"" - and related to modern word 'lust'",In talking with them I was amazed at their listless and hopeless attitude.
littoral,noun / adj,anything to do with a coast or shore,"A house overlooking the ocean is littoral.
A business is littoral if it sells things to people hanging out on the beach.
If you grew up near the water, you grew up in a littoral."
locus,,"the center or source of something, where things are happening 
in maths, a locus is when a set of points all meet at a designated location
in genetics, the locus is the location of a certain gene on a chromosome ","Washington D.C. is the locus for politics in the U.S.
A shopping mall is often a locus for teenagers."
logarithm,noun,"the exponent by which a base must be raised to produce a given number. In mathematics, logarithms are the inverses of exponentiation.","The base ten logarithm of 100 is 2, because ten raised to the power of two is 100: log 100 = 2."
logorrhea,,"a pathological inability to stop talking
related to diarrhea - an inability to stop something unpleasant from flowing
logorrhea is an actual illness, unlike terms for extreme chattiness such as loquacious or garrulous",
lugubrious,,"excessively mournful, sad, gloomy",Funerals are lugubrious. So are rainy days and Mondays. 
manumission,noun,release from slavery,A leading advocate of manumission.
matriculate,verb,to enroll as a student,
matriculate,noun,someone who has enrolled as a student,
megalith,,a large stone that forms a prehistoric monument,
megalithic,adjective,,
melange,,any combination of anything,"Call any random assortment of things a melange (or mélange as it's sometimes spelled) and voila, you've given it a sparkle that plain old words like combination, mixture, and blend just cannot convey."
mellifluous / mellifluously,,"pleasing to the ear, to flow like honey
in Greek mythology, Melissa was a nymph who discovered that you could eat the smooth, sweet stuff that bees make. Honeybees were named after her, and their tasty product was called meli",
mendicant,noun,"1: a beggar
2: belonging to a religious order who do not own personal property, but live together in a monastery and survive off alms donated by others (i.e the Franciscan Friars)","My father gave me quarters to give to mendicant men along the route, even though our family was very poor."
mendicant,adjective,extreme poverty,
mercenary,,a soldier who gets paid to fight,
metaphor,noun,an expression used to suggest a similarity that it does not literally denote ,"metaphor / simile
Both make comparisons, but a metaphor compares one thing to another (""The world is your oyster"" - Shakespeare) while a simile uses 'like' or 'as' (""Me without a mic is like a beat without a snare"" - Lauryn Hill)"
métier,,a particularly outstanding talent,
miasma,noun,"1, an unpleasant or unhealthy smell, a stink, a stench
2, an oppressive or unpleasant atmosphere which surrounds or emanates from something","1, A miasma of stale alcohol hung around him.
2, A miasma of despair rose from the workshop."
miasmic,adjective,"producing an unpleasant smell, noxious",That peculiarly miasmic atmosphere generated by small boys and adolescent teenagers.
mien,,"how you present yourself, the impression you make","He has a cautious, academic mien."
Milquetoast,,"a shy, nervous man
Caspar Milquetoast was a comic strip character created by H. T. Webster for his cartoon series The Timid Soul",He changes from a dorky milquetoast to a sexy macho hero.
minatory,,"threatening
from the Latin menatorius - ""menace"" and nothing with the Greek legends of the Minotaur",He is unlikely to be deterred by minatory finger-wagging.
misandry,,the hatred of men,
mitigate,verb,to lessen or to reduce the seriousness of something,"You can mitigate your parents' anger by telling them you were late to dinner because you were helping your elderly neighbor.
When you buy car insurance, you are trying to mitigate the risks involved with driving."
modal,,"relating to mode or form, as opposed to substance
grammar: of or denoting the mood of a verb",
monoglot,,a person who speaks only one language,
monolithic,adjective,"characterized by massiveness, rigidity and total uniformity; imposing in size, bulk or solidity
its roots mono and lithic mean simply ""one stone""",
moribund,,something that is almost dead,"As streaming becomes a more and more popular way to watch movies and television shows, the DVD has become a moribund medium."
murine,,"relating to mice, rodents",
noblesse oblige,,inferred responsibility of privileged people to act with generosity and nobility toward the less privileged,There used to be a certain element of noblesse oblige to being a celebrity.
nonplussed,,"1, bewildered, puzzled, astounded, exasperated
2, unperturbed
there is no word plussed, you can only be nonplussed","You're nonplussed when your mother tells you she's marrying her 25-year-old personal trainer.
You're nonplussed when your boss fires you, even though he tells you you’re the best employee he's ever had."
numinous,,"a strong religious quality, suggesting the presence of a divine power, communicating a spiritual vibe
from the Latin numin - ""divine power"""," When you enter a temple, church, or mosque, you might feel as though you've entered a numinous space."
obloquy,noun,state of disgrace resulting from public abuse,He endured years of contempt and obloquy.
obsequious,,obedient or attentive to an excessive or servile degree,They were served by obsequious waiters.
obstreperous,adjective,"boisterous, noisy, aggressive, defiant",
obstreperous,,"boisterous, noisy, aggressive, defiant","You’ve probably seen an obstreperous child in the grocery store, pulling away from her mother, screaming at the top of her lungs."
obtrude,verb,"impose on someone in an unwelcome or intrusive way
from the Latin ob - ""toward"" and trudere - ""to thrust""","Mrs. Danvers never obtruded herself, but I was aware of her continually.
I tried not to look at it, but it kept obtruding at the corners of my vision."
obtuse,,"lacking sharpness, stupid or unintelligent
it sounds and looks like abstruse but is almost its opposite: Abstruse things are difficult to understand",He wondered if the doctor was being deliberately obtuse.
obviate,verb, remove (a need or difficulty),The presence of roller blinds obviated the need for curtains.
officious,,"1, assertive in a domineering way, especially with regard to trivial matters
2, intrusive, interfering","1, The security people were very officious.
2, An officious bystander."
oligopoly,,"a market in which control over the supply of a commodity is in the hands of a small number of producers and each one can influence prices and affect competitors
from the ancient Greek oligo- ""few"" and pole - ""merchant""","If you and three friends buy up all the toilet paper factories in the world, you will have a toilet paper oligopoly."
onerous,,"burdensome, difficult to deal with or do",
ontology / ontological,,"the study (in philosophy) of the nature of being, becoming, existence or reality",
opprobrium,,"a state of extreme dishonor, infamy",An inappropriate act leads to opprobrium for the person who did it.
orchard,noun,"a tree garden
from Old English orceard - ""fruit farm""",
panacea,,"hypothetical remedy for all ills once sought by alchemists
the Greek word pan means “all” (think of a panorama)
the Greek word akēs means ""cure” (which looks like the word aches)
panacea - a cure for all aches","A panacea doesn’t really cure everything, some people just think it can."
panegyric,,"a formal expression of praise, a very elaborate tribute",
parry,,"1, ward off (a weapon or attack) with a countermove
2, answer (a question or accusation) evasively","1 ""He parried the blow by holding his sword vertically.""
2, ""He parried questions from reporters outside the building."""
parse,,break it into parts and analyze each element carefully,
particulate,,composed of distinct particles,
parvenu,,nouveau-riche,The political inexperience of a parvenu.
pathogen,,"a tiny living organism, such as a bacterium or virus, that makes people sick","At summer picnics, people are cautious about keeping certain foods cool: eggs, for example, spoil quickly in the heat, introducing pathogens that can make people sick."
pathological,,caused by a physical or mental disease,OCD can manifest as a pathological compulsion for cleanliness.
pathos,,"a quality that arouses emotions, especially pity or sorrow
pathos originally meant ""suffering"" in Greek",
patina,noun,"1, a fine coating on the surface of something
2, somebody who has acquired some surface character that doesn't go very deep","1, It was a sow, not a boar, and under a patina of mud it was the pink of a domestic pig, not the brown bristle of a wild one.
2, The tycoon has a patina of sophistication but only pretends to be interested in art and literature."
peevish,,easily irritated and grumpy,We all have a pet peeve.
pelagic,,"to do with the ocean, especially the open area far from the shore
from a Greek root, pelagos - ""high sea""","Pelagic birds and fish - like tuna, jellyfish, and the Atlantic puffin - live in the open ocean."
pell-mell,,"in a wild or reckless manner
words with a similar structure and meaning are higgledy-piggledy, harum-scarum, and helter-skelter","""Running pell-mell up the stairs."""
pellucid,,"pell-loo-sid: clear, lucid
both lucid and pellucid derive from a Latin word meaning ""to shine through""","Pellucid water is clear, a pellucid sky is a particularly intense shade of blue, pellucid prose is writing that's easy to understand, and pellucid singing is clear and light in tone."
peninsula,,"a peninsula juts into the water, but has a narrow a connection to land
from the Latin words paene - ""almost"" and insula - ""island""","Some confuse an island with a peninsula because both are surrounded by so much water, but a peninsula is connected to a mainland at some point, while an island is completely encircled by water."
penumbra,noun,a space of partial illumination between the perfect shadow on all sides and the full light.,"During the eclipse, we observed the moon's penumbra slowly moving across the earth."
penurious,,flat broke or a general dislike of spending money," If someone accuses you of being cheap, tell them you prefer to be thought of as penurious. It sounds so much classier."
penury,,a state of extreme poverty,
percept,noun,"an object of perception, something that is perceived",
peregrination,noun,"a journey, especially a long or meandering one","She kept her aunt company on her peregrinations.
Such fascinating peregrinations you've experienced!"
peremptorily,,in a commanding manner,"“Now,” he said peremptorily, “step forward, please. One at a time, and no shoving”."
perfidious,adjective,"underhanded, treacherous, deceitful",
perfidy,noun,"deceitfulness
from Latin root per - ""through"" and fidem - ""faith""",
perforce,adverb,"necessarily, inevitably
from the Old French par force - ""by force""","As wonderful and warm as summer is, it must perforce come to an end.
Our disagreement over what to have for dinner will perforce end in our ordering a pizza."
peripatetic,,"travelling around to different places, usually because you work in more than one place",A peripatetic teacher.
peroration,,"a long, lofty speech
from the Latin root orare - ""to speak""
from the same word family as oration - ""a formal speech"" and perorate - ""to speak at length""",
persiflage,,a teasing kind of banter,
pertinacious,,"unyielding or perversely persistent, anyone who is bullheaded and obstinately stuck in their ways and opinions
from the Latin pertinax,  per = ""thoroughly"", tenax = ""tenacious""",
perturbation,noun,"anxiety or uneasiness, a state of agitation",
phlegmatic,,"people who are dull in expressing feelings or showing emotion, having an unemotional and calm disposition",A thing to disturb even the most phlegmatic.
phosphorescene,,"a substance that emits light, but not much heat",
picayune,,"of little value or significance, petty
""picky-yune""",The picayune squabbling of party politicians.
pillory,,"to criticize harshly, attack or ridicule publicly",
pique,,"1) to make someone angry or annoyed
2) arouse, stimulate, or excite your interest or curiosity
from a French word meaning ""a prick, irritation,"" from Old French piquer - ""to prick""
you can see how something that pricks you could make you both excited and angry",
plangent,adjective,"having a loud, mournful sound; resounding sadly.",The plangent wail of the emergency sirens filled the air.
platitude,,a statement or comment repeated so often it has become meaningless,
plenipoteniary,,a diplomat who is fully authorized to represent his or her government,
pleonasm,,"to use more words than necessary
used accidentally a pleonasm is just long-winded
used on purpose it is a tool used to emphasize something or clarify an idea through repetition",She picked up the tiny little baby kitten.
polemic,,a strong verbal or written attack on someone or something,"The Grinch published a powerful polemic against Christmas.""
""The worst offense that can be committed by a polemic is to stigmatize those who hold a contrary opinion as bad and immoral men."" - John Stuart Mill"
polity,,"a political group of any size or shape, e.g a government, a state, a country, or even a social group",
Pollyanna,,"an excessively cheerful or optimistic person
a person who believes that good things are more likely to happen than bad things, even when this is very unlikely
Pollyanna is a best-selling 1913 novel by Eleanor H. Porter that is now considered a classic of children's literature",
polyglot,,a person who understands multiple languages,
portage,noun,"the act of carrying or transporting, especially the carrying of a boat overland between two waterways.",The canoeists had to make a portage around the rapids.
pragmatic,,"a person or a solution that takes a realistic approach, sensible, grounded, practical. Pragmatism is the philosophy of 'doing what works best'",Ideology has to be tempered with pragmatism.
precipitate,,"cause an event or situation (typically one that is bad or undesirable) to happen suddenly, unexpectedly, or prematurely",
predilection,,"a predisposition in favor of something
based on the Latin verb praediligere which means ""prefer before others""","If you're a night owl, you probably have a predilection for big cities."
prefatory,adjective,serving as an introduction; introductory.,The author's prefatory remarks were brief but poignant.
prehensile,,"able to grasp
can also mean greedy, grasping for riches",Elephants curl their prehensile noses around objects in order to pick them up.
preprandial,,preceding a meal,"A preprandial drink before dinner.
A preprandial dose of medicine is to be taken right before you eat.
The waiter brings a preprandial bread basket before taking your order."
pretext,noun,a fictitious reason that is concocted to conceal the real reason,
priapic,,"pri-AH-pick: resembling a phallus, relating to male sexuality",
primordial,,"something that has existed since the earliest time
from the Latin primus - ""first"" and ordiri - ""to begin""",
pro forma,,"actions that are formalities, just going through the motions
from the Latin term meaning as a matter of form",
probity,,"morally and ethically above reproach, having integrity
impropriety is the opposite","If you show fiscal probity, it means you are responsible and ethical with your money."
prodigious,,"exceptional, substantial, or great","A blizzard includes prodigious wind and snow.
A prodigious writer is one who can write a lot and do it well."
promulgate,verb,to make publicly known,
promulgation,noun,an official announcement,
propitiate,,to appease someone or make them happy by doing a particular thing,
propitious,,presenting favorable circumstances; likely to result in or show signs of success,"Propitious omens.
Propitious gales sped us along.
A propitious alignment of planets for space exploration."
prosaic / prosaically,adj./adverb ,"a lack of originality, stated in an ordinary, straightforward way","When you state something without any added imaginative details or flowery language, you speak prosaically."
proscenium,noun,the part of a theatre stage in front of the curtain,
proscribed,,"forbidden, excluded from use or mention",
prosody,,"the rhythm and intonation of language (= the way a speaker's voice rises and falls)
refers to variations in pitch, rhythm, and loudness",
protean,adjective,"versatile, able to do many different things, tending or able to change frequently or easily","Proteus was a Greek god who could tell the future. When he was asked a question he didn't want to answer, he would change shapes."
prurient,,"having or showing too much interest in sexual things, concupiscent",She'd been the subject of much prurient curiosity.
punctilious,adjective,"close attention to detail
related to the Italian word puntiglio- ""fine point""",Are you always precisely on time? Is your room perfectly neat? Do you never forget a birthday or a library book's due date? Then you are punctilious.
purdah,,"1, a screen used to separate women from men in Hindu or Muslim societies
2, a state of social isolation",
purlieu,,the area near or surrounding a place,The photogenic purlieus of Cambridge.
purview,,the range or scope of something; anything inside a range of interest or activity,A supervisor is in charge of certain workers. Other workers are outside her purview.
pusillanimous,,"pew-sill-AN-ih-mus: lacking in courage, contemptibly fearful
from pusillus animus - ""very small spirit""","The pusillanimous person stays quiet, doesn't get involved, waits for someone else to take a stand, not out of laziness, but out of fear.
A pusillanimous student is too afraid to speak out against someone who is bullying others."
putative,,"assumed, generally accepted","You might be the putative leader of your lacrosse team, even if someone else holds the title of captain."
pyrrhic,adjective,"a victory won, but at too great a cost
from the Greek general Pyrrhus, who defeated the Romans at the Battle of Asculum, but lost so many troops that he couldn't defeat Rome itself","If you are the winner in an argument with your brother, but the fight ends up ruining your relationship with him, it's a Pyrrhic victory."
quintessence,,"a perfect example
Ancient Greek philosophers claimed there were five elements: earth, water, air, fire, and a fifth substance that made up objects in the heavens. Latin-speaking scholars called this fifth element quintessence - from the Latin words quintus- “fifth” and essentia- “being” ",Some people say that the quintessence of American cuisine is the hamburger. Vegetarians may beg to differ.
Quisling,,"a traitor
Named after Vidkun Quisling, a Norwegian politician who volunteered to help the occupying Nazis rule Norway. Quisling was tried for treason and executed at the end of the war. More commonly used in the United States is ""Benedict Arnold"" the name of a Revolutionary War turncoat.",
Quixotic,,not sensible about practical matters; idealistic and unrealistic,
Quo Vadis?,,"a Latin phrase meaning ""Where are you marching?"", commonly translated as ""Where are you going?""",
rapacity,noun,"avarice, covetousness, greed","If the investment sector needed a patron saint of rapacity, Gekko was it."
ratiocination,noun,"logical and methodical reasoning, thought or reasoning that is exact, valid and rational",
rebus,,a puzzle that uses symbols or pictures to represent the sounds of words,"The letters ICU might be used to stand for the sentence “I see you.”
The word rebus could be depicted with the letters RE followed by a picture of a bus."
recherche,,"very fancy, rare
from French recherché - ""carefully sought out""",A few linguistic terms are perhaps a bit recherché for the average readership.
recondite,,"hard to comprehend, abstruse, esoteric",Recondite is a word that you could use to describe obscure philosophy books and high level mathematical theory.
rectitude,,morally correct behaviour or thinking,She is a model of rectitude.
regnant,,"exercising power or authority, dominant",
repast,noun,a meal,
repast,verb,to eat or feast,
repine,verb,expressing gloom or discontent,
repudiate,,"to reject, deny the truth or validity of an argument","If you show something is false, you have made a repudiation of that thing."
ribald,adjective,"humorously vulgar, someone who makes dirty, sexual jokes",
rollicking,,"fun and playful
from a nineteenth century verb: rollick - ""to behave exuberantly""",
roman à clef,,"a novel that tells a loosely-disguised true story, using fictional names for the characters
French for ""novel with a key""","Both The Bell Jar by Sylvia Plath and The Sun Also Rises by Ernest Hemingway are believed by many to be romans a clef, stories based on events in the authors' actual lives."
rube,,an insulting word for a person considered uneducated or uncultured,
rubicund,,"red, rosy, ruddy-cheeked or who flushes easily
from the Latin rubicundus - ""to be red""",Your rubicund face is evidence of your embarrassment. 
samizdat,noun,"the clandestine copying and distribution of literature banned by the state, especially in the communist countries of eastern Europe.",
sang-froid,,"poise under pressure; cool, even under stress
the French for ""cold blood""",
sanguine,,"confidently optimistic and cheerful
from Latin sanguis - ""blood"" - meaning someone whose ruddy complexion was a sign of an optimistic outlook",
sardonic,,showing an amused attitude toward something that suggests a criticism but does not express it,"Mildly sardonic, the chairman’s soft-spoken cross-examination embarrassed hostile witnesses without humiliating them.
A sardonic smile."
Saturnalia,,"an orgiastic festival in ancient Rome in honor of Saturn
a wild gathering involving excessive drinking and promiscuity",
saturnine,,"gloomy, mean, scowling
Medieval alchemists ascribed to the planet Saturn a gloomy and slow character. The ultimate saturnine character in literature is Heathcliff, the brooding, bitter, obsessive hero of Wuthering Heights","""The face was saturnine and swarthy, and the sensual lips twisted with disdain."" - Oscar Wilde"
satyr,,"In classical mythology satyrs were companions to Pan, a fertility god, and Dionysus, the god of wine and ecstasy. Like their patrons, they were excessively fond of women, drink, and song.
In Greek art the satyr was depicted as a man with the ears and tail of a horse. Roman artists emphasized this creature's relationship to the goat-god Pan by giving the satyr a goat's ears, horns, and haunches. In both cases, the satyr's animal aspect symbolized his immoderate appetites.
This noun can also be used metaphorically for a man whose sexual desire is stronger than his sense of decency.",
schism,noun,division of a group into opposing factions,Another schism like that and they will end up in bankruptcy.
scion,,"a descendant of a wealthy, aristocratic, or influential family",Scion of a railroad empire.
seditious,,"civil disorder, dissention, a plot against the current power structure","In some countries, just saying seditious things can land you in jail."
senescence,,the process of aging,
sententious,,"given to moralizing in a pompous or affected manner
When sententious first appeared in English (back in the late Middle Ages) it meant full of wisdom, but now it usually has a negative association, meaning self-important",Too often he deteriorates into sententious rhetoric.
sentinel,,"a guard, a lookout, a person keeping watch",
sequelae,noun,a pathological condition resulting from a disease.,The doctor explained that the sequelae of the infection could last for months.
shibboleth,,"a platitude, truism, a phrase that is so common everyone thinks it's true",Better late than never.
sibylline,adjective,relating to or characteristic of a sibyl; prophetic and mysterious. The sibyls were oracles in Ancient Greece.,
simile,noun,"a comparison between two fundamentally different things
From Latin similus - ""the same""
metaphor / simile: both make comparisons, but a metaphor compares one thing to another (""The world is your oyster"") while a simile uses 'like' or 'as' (""Me without a mic is like a beat without a snare"")","""His voice was smooth, like butter in a warm pan.""
"
simulacrum,,"a fake version of something real
from the Latin simulare - ""to make like""","A wax museum is full of simulacrums of famous people.
This video game is only a simulacrum of playing football!"
sinecure,noun,"an office or position that requires little or no work, but provides an income
from the Latin root words sine cura meaning ""without care""",
skittish,adjective,unpredictable and excitable,
solecism,,"1, a breach of good manners, an instance of incorrect behaviour
2, a grammatical mistake in speech or writing
from the ancient Greek meaning ""speaking incorrectly""",
solipsism,,"the philosophical theory that the self is all that you know to exist
from the Latin words sol - alone and ipse - self",
specious,adjective,"an argument that seems to be good, correct, or logical, but is not; attractive in a deceptive way
in Middle English specious meant ""attractive""",
stricture,,"1) a nasty criticism
2) a sharp contraction of a tube or canal in the body
related to the word constrict meaning ""to tighten or draw in""",
suasion,noun,"persuasion, the act of persuading (or attempting to persuade), communication intended to induce belief or action",
sublimate,,"1) to divert the expression of a desire or impulse from its unacceptable form to one that is considered more socially or culturally acceptable
2) to pass directly from the solid to the vapor state: sublime",
substrate,,a solid substance or medium to which another substance is applied and to which that second substance adheres,
subsume,,to absorb or include,Love may subsume you in the early stages of a romance.
succour,noun,help in a difficult situation,
sunder,,to tear or break apart,
superannuated,,"things that are obsolete because of age
comes from the Medieval Latin word superannuatus which means “to be too old”","You can't fix a superannuated car because replacement parts are no longer made.
You might be tempted to call the word superannuated, well superannuated, because you don’t hear it used very much anymore."
supercilious,,thinking very highly of oneself,"If your sister tends to act snobby and superior, you can describe her as supercilious."
surcease,noun & verb,an ending,"If you surcease working, then you finished your homework for the day.
Many people hate when their sleep comes to a surcease in the morning."
swain,,"boyfriend, male admirer
from the Old Norse word sveinn - ""boy, servant, or attendant""","She was probably avoiding a lovesick swain, not wealthy enough to suit her."
swingeing,,"severe, punishingly bad","Swingeing taxation.
The judge awarded swingeing damages."
synecdoche,noun,a figure of speech in which a part is made to represent the whole or vice versa.,"England lost by six wickets (meaning ‘the English cricket team’).  ""All hands on deck"" ('hands' refers to people)."
tant pis,,when you're disappointed but resigned to your fate,Par exemple… Il n'y a plus de vin mais tant pis. (There's no more wine but oh well.)
Tantalus,,"a Greek mythological figure most famous for his punishment in Tartarus: He was made to stand in a pool of water beneath a fruit tree with low branches, but the fruit ever eluded his grasp, and the water always receded before he could take a drink. From where we derive the word tantalize",
technocracy,,a form of government in which scientists and technical experts rule,
telegraphic,,"omitting inessential words, concise
speech that doesn’t use a lot of pronouns and prepositions",Best. Episode. Ever.
teleological,,"starting from the end and reasoning back, explaining things based on their end purpose
from the Greek roots telos - ""end"" and ology - ""study of""",
teleology,,"a philosophy that sees purpose in ends rather than stated causes. When you see things in terms of teleology, you explain actions by their results",
telos,,an ultimate object or aim,"""People lose some moral purpose, a telos which provides the moral justification for the society."""
timorous,,"nervous, without confidence",
totalitarian / totalitarianism,,complete and absolute power over the people,
traction,noun,"the friction between a body and the surface on which it moves, as between an automobile tire and the road",
traducer,,one who attacks the reputation of another by slander or libel,
trattoria,,"Italian-style eating establishment, less formal than a ristorante, but more formal than an osteria. There are generally no printed menus, the service is casual, wine is sold by the decanter rather than the bottle, prices are low, and the emphasis is on a steady clientele rather than on haute cuisine",
travail,,"hard mental exertion or physical labor
the closest English word is toil, though travail means you’re not just exerting monumental effort but suffering as you do so
in French travail simply means work. In Spanish trabajo is also closely related to work","If your life has been the stuff of blues songs or Shakespearean tragedies, you’ve had your share of travails."
trebuchets,noun,medieval catapults for hurling heavy stones.,"The castle was besieged with trebuchets, their massive stones crashing against the walls."
tremulous,adjective,shaky and quivering,
trenchantly,adverb,in a vigorous and effective manner,He trenchantly defended his client's civil rights.
triage,,"
a care-rationing process used when the number of  wounded overwhelms the people and resources available to  treat them
from French and means trying or testing
","Incoming wounded are sorted into three classes. The first consists of those who will die even if they get care. The second consists of those who will survive even if they receive no care. The third consists of those who will live if they  get help, but will die without it. In a triage situation, all available resources go to the third category."
trompe l’oeil,,"a style of painting that's so realistic it appears to be three-dimensional
in French trompe l'oeil means ""fools the eye,"" from tromper - ""to deceive"" and l'oeil - ""the eye""",
tundra,,"a vast, treeless plain near the Arctic Circle where the subsoil is permanently frozen
from the Finnish 'tunturria' which means ""barren land""",
turbid,,"dark and murky, so you can't see through it (usually used as a criticism)
although it’s usually used to describe liquid, it can also be used to describe writing that’s unclear
from Latin word turbidus which means ""muddy, full of confusion""",
turpitude,,"depraved behavior
from Latin turpitudo - ""repulsiveness""",Acts of moral turpitude are crimes that are unusually sick or corrupt.
unctuous,,unpleasantly and excessively suave or ingratiating in manner or speech,
unregenerate,,not reformed morally or spiritually,
usufruct,,an ancient Roman law which stated that citizens could use and even profit from another person's land or property as long as it wasn't wasted or destroyed,
utilitarian,,designed to be useful rather than decorative,"Like many factories, it's a very ugly utilitarian building."
utilitarianism,,an ethical theory that states that the best action is the one that benefits the majority,Utilitarianism by John Stuart Mill was originally published 1861.
verboten,,"forbidden, not allowed or permitted
from German",Lying in court is verboten.
veridical,adjective,"something true
from Latin verus - ""true"" and dicere - ""to speak""","Sworn testimony in a courtroom is expected to be veridical, as is the information you learn in a history lesson. Sometimes predictions or dreams that appear to foretell the future are described as veridical."
vertiginous,,"to be dizzy and woozy, a feeling that you are about to fall
from Latin vertere - ""to turn""","Vertigo is not the same thing as acrophobia - the fear of heights - although acrophobia can result in the symptoms associated with vertigo. When Hitchcock created a film about a detective with an intense fear of heights, he named it Vertigo, not Acrophobia."
vestigial,adjective,"an organ or body part that continues to exist without retaining its original function, such as our appendix
derives from the Latin word vestigium meaning ""footprint, trace""","An ostrich's wings are vestigial because it's unable to fly with them. A penguin's wings, on the other hand, are not vestigial because it has found another use for them - to help it swim."
victualler,,a person who is licensed to sell alcohol,
vitiate,,"1 : to debase in moral or aesthetic status
2 : to make ineffective, faulty or defective","1: A mind vitiated by prejudice.
2: As some sneaky five-year-olds know, crossing one’s fingers while making a promise is an effective way to vitiate, or destroy the validity of, an agreement."
viticulture,,the cultivation of grapes and grape vines,
vituperation,,"abusive or venomous language, invective, vitriol","How careless people were with their antipathy, how they threw it around for fun; how these days people indiscriminately sprayed vituperation every which way as if launching a mass acid attack in a crowded public square."
vituperative,adjective,harshly abusive criticism,"A vituperative outburst.
The debate turned sour with vituperative exchanges that shocked the audience."
vivisection,,experimentaion on animals,
voluble,,someone who talks a lot,“She is an extremely voluble young woman who engages in soliloquies not conversations.”
wry,,a sarcastic sense of humor,
zealot,,"a fanatical and uncompromising person
antonym: moderate
historical: an ancient Jewish sect aimed at a world Jewish theocracy who resisted the Romans until AD 70",Reforming zealots destroyed a vast collection of papers.
